Country/Region,Confirmed,Deaths,Recovered,Last Update
World,1162297,62444,241742,04/04/2020 17:45
US,293494,7896,14436,04/04/2020 17:45
Spain,124736,11744,34219,04/04/2020 17:45
Italy,124632,15362,20996,04/04/2020 17:45
Germany,92150,1330,26400,04/04/2020 17:45
France,82165,6507,14008,04/04/2020 17:45
China,81639,3326,76755,04/04/2020 17:45
Iran,55743,3452,19736,04/04/2020 17:45
United Kingdom,41903,4313,135,04/04/2020 17:45
Turkey,20921,425,484,04/04/2020 17:45
Switzerland,20278,641,4846,04/04/2020 17:45
Belgium,18431,1283,3247,04/04/2020 17:45
Netherlands,16627,1651,250,04/04/2020 17:45
Canada,12924,214,2322,04/04/2020 17:45
Austria,11781,186,2507,04/04/2020 17:45
Portugal,10524,266,75,04/04/2020 17:45
South Korea,10156,177,6325,04/04/2020 17:45
Brazil,9391,376,127,04/04/2020 17:45
Israel,7589,44,427,04/04/2020 17:45
Sweden,6443,373,205,04/04/2020 17:45
Norway,5550,62,32,04/04/2020 17:45
Australia,5550,30,585,04/04/2020 17:45
Russia,4731,43,333,04/04/2020 17:45
Czechia,4362,59,78,04/04/2020 17:45
Ireland,4273,120,25,04/04/2020 17:45
Chile,4161,27,528,04/04/2020 17:45
Denmark,4077,161,1283,04/04/2020 17:45
Poland,3627,79,116,04/04/2020 17:45
Romania,3613,146,329,04/04/2020 17:45
Malaysia,3483,57,915,04/04/2020 17:45
Ecuador,3368,145,65,04/04/2020 17:45
Philippines,3094,144,57,04/04/2020 17:45
India,3082,86,229,04/04/2020 17:45
Japan,2935,69,514,04/04/2020 17:45
Pakistan,2748,41,130,04/04/2020 17:45
Luxembourg,2729,31,500,04/04/2020 17:45
Saudi Arabia,2179,29,420,04/04/2020 17:45
Indonesia,2092,191,150,04/04/2020 17:45
Thailand,2067,20,674,04/04/2020 17:45
Finland,1882,25,300,04/04/2020 17:45
Mexico,1688,60,633,04/04/2020 17:45
Greece,1673,68,78,04/04/2020 17:45
Panama,1673,41,13,04/04/2020 17:45
Serbia,1624,44,54,04/04/2020 17:45
Peru,1595,61,537,04/04/2020 17:45
United Arab Emirates,1505,10,125,04/04/2020 17:45
South Africa,1505,9,95,04/04/2020 17:45
Dominican Republic,1488,68,16,04/04/2020 17:45
Iceland,1417,4,396,04/04/2020 17:45
Argentina,1353,42,266,04/04/2020 17:45
Qatar,1325,3,109,04/04/2020 17:45
Colombia,1267,25,55,04/04/2020 17:45
Algeria,1251,130,90,04/04/2020 17:45
Singapore,1189,6,297,04/04/2020 17:45
Croatia,1126,12,119,04/04/2020 17:45
Ukraine,1096,28,23,04/04/2020 17:45
Estonia,1039,13,59,04/04/2020 17:45
