Country/Region,Confirmed,Deaths,Recovered,Last Update
US,144118,2580,4562,03/30/2020 15:05
Italy,97689,10779,13030,03/30/2020 15:05
Spain,85195,7340,16780,03/30/2020 15:05
China,82505,3313,75956,03/30/2020 15:05
Germany,63929,560,9211,03/30/2020 15:05
Iran,41495,2757,13911,03/30/2020 15:05
France,40174,2606,7202,03/30/2020 15:05
United Kingdom,19522,1228,135,03/30/2020 15:05
Switzerland,15526,333,1823,03/30/2020 15:05
Belgium,11899,513,1527,03/30/2020 15:05
Netherlands,11750,864,250,03/30/2020 15:05
South Korea,9661,158,5228,03/30/2020 15:05
Austria,9377,108,636,03/30/2020 15:05
Turkey,9217,131,105,03/30/2020 15:05
Portugal,6408,140,43,03/30/2020 15:05
Canada,6320,65,573,03/30/2020 15:05
Norway,4393,31,12,03/30/2020 15:05
Israel,4347,16,134,03/30/2020 15:05
Brazil,4330,140,120,03/30/2020 15:05
Australia,4245,18,244,03/30/2020 15:05
Sweden,4028,146,16,03/30/2020 15:05
Czechia,2878,17,11,03/30/2020 15:05
Malaysia,2626,37,479,03/30/2020 15:05
Ireland,2615,46,5,03/30/2020 15:05
Denmark,2555,77,1,03/30/2020 15:05
Chile,2449,8,156,03/30/2020 15:05
Luxembourg,1988,22,40,03/30/2020 15:05
Poland,1984,26,7,03/30/2020 15:05
Romania,1952,46,206,03/30/2020 15:05
Ecuador,1924,58,3,03/30/2020 15:05
Japan,1866,54,424,03/30/2020 15:05
Russia,1836,9,66,03/30/2020 15:05
Pakistan,1650,20,29,03/30/2020 15:05
Philippines,1546,78,42,03/30/2020 15:05
Thailand,1524,9,229,03/30/2020 15:05
Saudi Arabia,1453,8,115,03/30/2020 15:05
Indonesia,1414,122,75,03/30/2020 15:05
Finland,1352,13,10,03/30/2020 15:05
South Africa,1280,2,31,03/30/2020 15:05
Greece,1156,39,52,03/30/2020 15:05
India,1071,29,100,03/30/2020 15:05
Iceland,1020,2,135,03/30/2020 15:05
Mexico,993,20,35,03/30/2020 15:05
Panama,989,24,4,03/30/2020 15:05
Singapore,879,3,228,03/30/2020 15:05
