Province/State,Country/Region,Last Update,confirmed,deaths,recovered
Maryland,US,03/29/2020 15:16,1068,10,
North Carolina,US,03/29/2020 15:16,1062,5,
Wisconsin,US,03/29/2020 15:16,1055,17,
Missouri,US,03/29/2020 15:16,847,11,
Arizona,US,03/29/2020 15:16,773,15,
Alabama,US,03/29/2020 15:16,760,9,
Virginia,US,03/29/2020 15:16,740,17,
Nevada,US,03/29/2020 15:16,738,14,
Mississippi,US,03/29/2020 15:16,663,13,
South Carolina,US,03/29/2020 15:16,661,15,
Utah,US,03/29/2020 15:16,604,2,
Oregon,US,03/29/2020 15:16,479,13,
Minnesota,US,03/29/2020 15:16,441,5,
Arkansas,US,03/29/2020 15:16,409,5,
Kentucky,US,03/29/2020 15:16,394,9,
Oklahoma,US,03/29/2020 15:16,377,15,
Washington DC,US,03/29/2020 15:16,342,4,
Iowa,US,03/29/2020 15:16,298,3,
Kansas,US,03/29/2020 15:16,269,5,
Idaho,US,03/29/2020 15:16,265,5,
Rhode Island,US,03/29/2020 15:16,239,2,
New Hampshire,US,03/29/2020 15:16,214,2,
Delaware,US,03/29/2020 15:16,214,5,
Vermont,US,03/29/2020 15:16,211,12,
Maine,US,03/29/2020 15:16,211,1,
New Mexico,US,03/29/2020 15:16,208,2,
Hawaii,US,03/29/2020 15:16,149,0,
Montana,US,03/29/2020 15:16,147,1,
Puerto Rico,US,03/29/2020 15:16,127,3,
West Virginia,US,03/29/2020 15:16,113,0,
Nebraska,US,03/29/2020 15:16,108,2,
Grand Princess,US,03/29/2020 15:16,103,3,
Alaska,US,03/29/2020 15:16,102,2,
North Dakota,US,03/29/2020 15:16,94,1,
Wyoming,US,03/29/2020 15:16,84,0,
South Dakota,US,03/29/2020 15:16,68,1,
Guam,US,03/29/2020 15:16,56,1,
Diamond Princess,US,03/29/2020 15:16,49,0,
US Virgin Islands,US,03/29/2020 15:16,23,0,
,,03/29/2020 15:16,Confirmed,Deaths,
Quebec,Canada,03/29/2020 15:16,2498,22,
Ontario,Canada,03/29/2020 15:16,1144,18,
British Columbia,Canada,03/29/2020 15:16,884,17,
Alberta,Canada,03/29/2020 15:16,621,2,
Saskatchewan,Canada,03/29/2020 15:16,134,0,
Newfoundland and Labrador,Canada,03/29/2020 15:16,120,0,
Nova Scotia,Canada,03/29/2020 15:16,110,0,
Manitoba,Canada,03/29/2020 15:16,64,1,
New Brunswick,Canada,03/29/2020 15:16,51,0,
Grand Princess,US,03/29/2020 15:16,13,0,
Prince Edward Island,Canada,03/29/2020 15:16,11,0,
Yukon,Canada,03/29/2020 15:16,4,0,
Northwest Territories,Canada,03/29/2020 15:16,1,0,
Diamond Princess,US,03/29/2020 15:16,0,1,
,US,03/29/2020 15:16,123828,2231,3238.0
,Italy,03/29/2020 15:16,92472,10023,12384.0
,Spain,03/29/2020 15:16,78797,6528,14709.0
,Germany,03/29/2020 15:16,58247,455,8481.0
,Iran,03/29/2020 15:16,38309,2640,12391.0
,France,03/29/2020 15:16,37575,2314,5700.0
,United Kingdom,03/29/2020 15:16,19522,1235,135.0
,Switzerland,03/29/2020 15:16,14593,290,1595.0
,Netherlands,03/29/2020 15:16,10866,771,3.0
Brussels,Belgium,03/29/2020 15:16,10836,431,1359.0
,South Korea,03/29/2020 15:16,9583,152,5033.0
,Austria,03/29/2020 15:16,8536,86,479.0
,Turkey,03/29/2020 15:16,7402,108,70.0
,Portugal,03/29/2020 15:16,5962,119,43.0
,Norway,03/29/2020 15:16,4235,25,7.0
,Brazil,03/29/2020 15:16,3904,117,6.0
,Israel,03/29/2020 15:16,3865,14,89.0
,Sweden,03/29/2020 15:16,3700,110,16.0
,Czechia,03/29/2020 15:16,2697,13,11.0
,Malaysia,03/29/2020 15:16,2470,34,388.0
,Ireland,03/29/2020 15:16,2415,36,5.0
,Denmark,03/29/2020 15:16,2395,72,1.0
,Chile,03/29/2020 15:16,1909,6,61.0
,Luxembourg,03/29/2020 15:16,1831,18,40.0
,Ecuador,03/29/2020 15:16,1823,48,3.0
,Poland,03/29/2020 15:16,1771,20,7.0
,Romania,03/29/2020 15:16,1760,40,169.0
,Japan,03/29/2020 15:16,1693,52,424.0
,Russia,03/29/2020 15:16,1534,8,64.0
,Pakistan,03/29/2020 15:16,1526,13,29.0
,Philippines,03/29/2020 15:16,1418,71,42.0
,Thailand,03/29/2020 15:16,1388,7,97.0
,Saudi Arabia,03/29/2020 15:16,1299,8,66.0
,Indonesia,03/29/2020 15:16,1285,114,64.0
,Finland,03/29/2020 15:16,1239,11,10.0
,South Africa,03/29/2020 15:16,1187,1,31.0
,Greece,03/29/2020 15:16,1061,37,52.0
,Iceland,03/29/2020 15:16,1020,2,114.0
,India,03/29/2020 15:16,987,25,87.0
,Panama,03/29/2020 15:16,901,17,4.0
,Mexico,03/29/2020 15:16,848,16,4.0
,Singapore,03/29/2020 15:16,844,3,212.0
,Argentina,03/29/2020 15:16,745,19,72.0
,Serbia,03/29/2020 15:16,741,13,42.0
,Slovenia,03/29/2020 15:16,730,11,10.0
,Dominican Republic,03/29/2020 15:16,719,28,3.0
,Croatia,03/29/2020 15:16,713,6,52.0
Yokohama,Japan,03/29/2020 15:16,712,10,597.0
,Estonia,03/29/2020 15:16,679,3,20.0
,Peru,03/29/2020 15:16,671,16,16.0
Hong Kong,Hong Kong,03/29/2020 15:16,641,4,118.0
,Colombia,03/29/2020 15:16,608,6,10.0
,Qatar,03/29/2020 15:16,590,1,45.0
,Egypt,03/29/2020 15:16,576,36,121.0
,Iraq,03/29/2020 15:16,547,42,143.0
,New Zealand,03/29/2020 15:16,514,1,56.0
,Bahrain,03/29/2020 15:16,499,4,272.0
,United Arab Emirates,03/29/2020 15:16,468,2,55.0
,Algeria,03/29/2020 15:16,454,29,31.0
,Morocco,03/29/2020 15:16,450,26,13.0
,Lebanon,03/29/2020 15:16,438,10,30.0
,Lithuania,03/29/2020 15:16,437,7,1.0
,Armenia,03/29/2020 15:16,424,3,30.0
,Ukraine,03/29/2020 15:16,418,9,5.0
,Hungary,03/29/2020 15:16,408,13,34.0
,Latvia,03/29/2020 15:16,347,0,1.0
,Bulgaria,03/29/2020 15:16,338,8,11.0
,Andorra,03/29/2020 15:16,334,6,1.0
,Bosnia and Herzegovina,03/29/2020 15:16,323,6,8.0
,Slovakia,03/29/2020 15:16,314,0,2.0
,Uruguay,03/29/2020 15:16,304,1,0.0
Taiwan,Taiwan,03/29/2020 15:16,298,2,39.0
,Costa Rica,03/29/2020 15:16,295,2,3.0
,Tunisia,03/29/2020 15:16,278,8,2.0
,North Macedonia,03/29/2020 15:16,259,6,3.0
,Kuwait,03/29/2020 15:16,255,0,67.0
,Kazakhstan,03/29/2020 15:16,251,1,18.0
,Jordan,03/29/2020 15:16,246,1,18.0
,Moldova,03/29/2020 15:16,231,2,2.0
,San Marino,03/29/2020 15:16,224,22,6.0
,Albania,03/29/2020 15:16,212,10,33.0
,Azerbaijan,03/29/2020 15:16,209,4,15.0
,Burkina Faso,03/29/2020 15:16,207,11,21.0
,Vietnam,03/29/2020 15:16,188,0,21.0
,Reunion,03/29/2020 15:16,183,0,1.0
,Cyprus,03/29/2020 15:16,179,5,15.0
,Oman,03/29/2020 15:16,167,0,23.0
,Faeroe Islands,03/29/2020 15:16,159,0,70.0
,Ghana,03/29/2020 15:16,152,5,2.0
,Malta,03/29/2020 15:16,151,0,2.0
,Senegal,03/29/2020 15:16,142,0,27.0
,Ivory Coast,03/29/2020 15:16,140,0,3.0
,Uzbekistan,03/29/2020 15:16,133,2,7.0
,Brunei,03/29/2020 15:16,126,1,34.0
,Afghanistan,03/29/2020 15:16,120,4,2.0
,Cuba,03/29/2020 15:16,119,3,4.0
,Venezuela,03/29/2020 15:16,119,2,39.0
,Sri Lanka,03/29/2020 15:16,115,1,10.0
,Honduras,03/29/2020 15:16,110,1,3.0
,Palestine,03/29/2020 15:16,106,1,18.0
,Cambodia,03/29/2020 15:16,103,0,21.0
,Mauritius,03/29/2020 15:16,102,2,0.0
,Guadeloupe,03/29/2020 15:16,102,2,17.0
,Channel Islands,03/29/2020 15:16,100,1,0.0
,Nigeria,03/29/2020 15:16,97,1,3.0
,Belarus,03/29/2020 15:16,94,0,32.0
,Martinique,03/29/2020 15:16,93,1,0.0
,Cameroon,03/29/2020 15:16,91,2,2.0
,Georgia,03/29/2020 15:16,90,0,18.0
,Montenegro,03/29/2020 15:16,85,1,0.0
,Kyrgyzstan,03/29/2020 15:16,84,0,0.0
,Bolivia,03/29/2020 15:16,81,0,0.0
,Trinidad and Tobago,03/29/2020 15:16,76,3,1.0
,DRC,03/29/2020 15:16,65,6,2.0
,Mayotte,03/29/2020 15:16,63,0,0.0
,Rwanda,03/29/2020 15:16,60,0,0.0
,Gibraltar,03/29/2020 15:16,56,0,14.0
,Liechtenstein,03/29/2020 15:16,56,0,0.0
,Paraguay,03/29/2020 15:16,56,3,1.0
,Bangladesh,03/29/2020 15:16,48,5,15.0
,Aruba,03/29/2020 15:16,46,0,1.0
,Monaco,03/29/2020 15:16,43,1,1.0
,Madagascar,03/29/2020 15:16,39,0,0.0
,Kenya,03/29/2020 15:16,38,1,1.0
,Isle of Man,03/29/2020 15:16,37,0,0.0
Macau,Macau,03/29/2020 15:16,37,0,10.0
,Guatemala,03/29/2020 15:16,34,1,10.0
,Jamaica,03/29/2020 15:16,32,1,2.0
,Uganda,03/29/2020 15:16,30,0,0.0
,French Polynesia,03/29/2020 15:16,30,0,0.0
,Zambia,03/29/2020 15:16,28,0,0.0
,French Guiana,03/29/2020 15:16,28,0,6.0
,Barbados,03/29/2020 15:16,26,0,0.0
,Togo,03/29/2020 15:16,25,1,1.0
,El Salvador,03/29/2020 15:16,24,0,0.0
,Bermuda,03/29/2020 15:16,22,0,2.0
,Ethiopia,03/29/2020 15:16,19,0,1.0
,Congo,03/29/2020 15:16,19,0,0.0
,Mali,03/29/2020 15:16,18,1,0.0
,Niger,03/29/2020 15:16,18,1,0.0
,Maldives,03/29/2020 15:16,17,0,11.0
,Guinea,03/29/2020 15:16,16,0,0.0
,Haiti,03/29/2020 15:16,15,0,1.0
,New Caledonia,03/29/2020 15:16,15,0,0.0
,Djibouti,03/29/2020 15:16,14,0,0.0
,Tanzania,03/29/2020 15:16,14,0,1.0
,Equatorial Guinea,03/29/2020 15:16,12,0,0.0
,Mongolia,03/29/2020 15:16,12,0,0.0
,Saint Martin,03/29/2020 15:16,11,0,0.0
,Dominica,03/29/2020 15:16,11,0,0.0
,Namibia,03/29/2020 15:16,11,0,2.0
,Greenland,03/29/2020 15:16,10,0,2.0
,Bahamas,03/29/2020 15:16,10,0,1.0
,Grenada,03/29/2020 15:16,9,0,0.0
,Eswatini,03/29/2020 15:16,9,0,0.0
,Cayman Islands,03/29/2020 15:16,8,1,0.0
,Myanmar,03/29/2020 15:16,8,0,0.0
,Curacao,03/29/2020 15:16,8,1,2.0
,Seychelles,03/29/2020 15:16,8,0,0.0
,Suriname,03/29/2020 15:16,8,0,0.0
,Mozambique,03/29/2020 15:16,8,0,0.0
,Laos,03/29/2020 15:16,8,0,0.0
,Guyana,03/29/2020 15:16,8,1,0.0
,Gabon,03/29/2020 15:16,7,1,0.0
,Antigua and Barbuda,03/29/2020 15:16,7,0,0.0
,Zimbabwe,03/29/2020 15:16,7,1,0.0
,Cabo Verde,03/29/2020 15:16,6,1,0.0
,Benin,03/29/2020 15:16,6,0,0.0
,Eritrea,03/29/2020 15:16,6,0,0.0
,Vatican City,03/29/2020 15:16,6,0,0.0
,Syria,03/29/2020 15:16,5,0,0.0
,St. Barth,03/29/2020 15:16,5,0,0.0
,Montserrat,03/29/2020 15:16,5,0,0.0
,Fiji,03/29/2020 15:16,5,0,0.0
,Sudan,03/29/2020 15:16,5,1,0.0
,Angola,03/29/2020 15:16,5,0,0.0
,Mauritania,03/29/2020 15:16,5,0,0.0
,Nepal,03/29/2020 15:16,5,0,1.0
,Nicaragua,03/29/2020 15:16,4,1,0.0
,Saint Lucia,03/29/2020 15:16,4,0,1.0
,Turks and Caicos,03/29/2020 15:16,4,0,0.0
,Bhutan,03/29/2020 15:16,4,0,0.0
,Liberia,03/29/2020 15:16,3,0,0.0
,Sint Maarten,03/29/2020 15:16,3,0,0.0
,Somalia,03/29/2020 15:16,3,0,0.0
,Chad,03/29/2020 15:16,3,0,0.0
,CAR,03/29/2020 15:16,3,0,0.0
,Gambia,03/29/2020 15:16,3,1,0.0
,Libya,03/29/2020 15:16,3,0,0.0
,MS Zaandam,03/29/2020 15:16,2,0,0.0
,Anguilla,03/29/2020 15:16,2,0,0.0
,Belize,03/29/2020 15:16,2,0,0.0
,British Virgin Islands,03/29/2020 15:16,2,0,0.0
,Guinea-Bissau,03/29/2020 15:16,2,0,0.0
,Saint Kitts and Nevis,03/29/2020 15:16,2,0,0.0
,Papua New Guinea,03/29/2020 15:16,1,0,0.0
,St. Vincent Grenadines,03/29/2020 15:16,1,0,1.0
,Timor-Leste,03/29/2020 15:16,1,0,0.0
